year,scenarios,data,value,origin
2053,ssp1,effort_final,15.2122125578499,Extrapolated
2054,ssp1,effort_final,15.2897125989494,Extrapolated
2055,ssp1,effort_final,15.3671745907628,Extrapolated
2056,ssp1,effort_final,15.4368495270453,Extrapolated
2057,ssp1,effort_final,15.5071483533319,Extrapolated
2058,ssp1,effort_final,15.5774121163487,Extrapolated
2059,ssp1,effort_final,15.6476422043787,Extrapolated
2060,ssp1,effort_final,15.7178399294849,Extrapolated
2061,ssp1,effort_final,15.7814653704131,Extrapolated
2062,ssp1,effort_final,15.8450598770322,Extrapolated
2063,ssp1,effort_final,15.9086245875908,Extrapolated
2064,ssp1,effort_final,15.9721605820711,Extrapolated
2065,ssp1,effort_final,16.036228886016,Extrapolated
2066,ssp1,effort_final,16.0949475500967,Extrapolated
2067,ssp1,effort_final,16.1536400111965,Extrapolated
2068,ssp1,effort_final,16.2128394746768,Extrapolated
2069,ssp1,effort_final,16.2714761765569,Extrapolated
2070,ssp1,effort_final,16.3300894123385,Extrapolated
2071,ssp1,effort_final,16.3849141677936,Extrapolated
2072,ssp1,effort_final,16.4392036689558,Extrapolated
2073,ssp1,effort_final,16.4939627684603,Extrapolated
2074,ssp1,effort_final,16.5482045517676,Extrapolated
2075,ssp1,effort_final,16.6029023579041,Extrapolated
2076,ssp1,effort_final,16.6527944563302,Extrapolated
2077,ssp1,effort_final,16.7031292773192,Extrapolated
2078,ssp1,effort_final,16.7534332378188,Extrapolated
2079,ssp1,effort_final,16.8032601251022,Extrapolated
2080,ssp1,effort_final,16.8535111922917,Extrapolated
2081,ssp1,effort_final,16.8970580643262,Extrapolated
2082,ssp1,effort_final,16.9401488851204,Extrapolated
2083,ssp1,effort_final,16.9836461548103,Extrapolated
2084,ssp1,effort_final,17.0271171077946,Extrapolated
2085,ssp1,effort_final,17.0705625779236,Extrapolated
2086,ssp1,effort_final,17.1027294388798,Extrapolated
2087,ssp1,effort_final,17.1344721862386,Extrapolated
2088,ssp1,effort_final,17.1665941303544,Extrapolated
2089,ssp1,effort_final,17.1986921515021,Extrapolated
2090,ssp1,effort_final,17.2307669459038,Extrapolated
2091,ssp1,effort_final,17.2502418006597,Extrapolated
2092,ssp1,effort_final,17.2696933587845,Extrapolated
2093,ssp1,effort_final,17.2891222564475,Extrapolated
2094,ssp1,effort_final,17.3085291046862,Extrapolated
2095,ssp1,effort_final,17.3279144907048,Extrapolated
2096,ssp1,effort_final,17.3187426863329,Extrapolated
2097,ssp1,effort_final,17.3091976101,Extrapolated
2098,ssp1,effort_final,17.2999843218048,Extrapolated
2099,ssp1,effort_final,17.2907487552865,Extrapolated
2100,ssp1,effort_final,17.2811532706497,Extrapolated
2011,ssp5,effort_final,10.827824348791,Extrapolated
2012,ssp5,effort_final,11.0089452085591,Extrapolated
2013,ssp5,effort_final,11.1808770339754,Extrapolated
2014,ssp5,effort_final,11.3485757219507,Extrapolated
2015,ssp5,effort_final,11.5132976767113,Extrapolated
2016,ssp5,effort_final,11.6756535295466,Extrapolated
2017,ssp5,effort_final,11.8333557362172,Extrapolated
2018,ssp5,effort_final,11.9879217541642,Extrapolated
2019,ssp5,effort_final,12.1374647735108,Extrapolated
2020,ssp5,effort_final,12.2832522804046,Extrapolated
2021,ssp5,effort_final,12.4247094662644,Extrapolated
2022,ssp5,effort_final,12.563811974951,Extrapolated
2023,ssp5,effort_final,12.7041964889466,Extrapolated
2024,ssp5,effort_final,12.8431271203493,Extrapolated
2025,ssp5,effort_final,12.9819919741208,Extrapolated
2026,ssp5,effort_final,13.1380998752124,Extrapolated
2027,ssp5,effort_final,13.2940953808577,Extrapolated
2028,ssp5,effort_final,13.4499871209264,Extrapolated
2029,ssp5,effort_final,13.6057828290909,Extrapolated
2030,ssp5,effort_final,13.7614894629267,Extrapolated
2031,ssp5,effort_final,13.9302674485906,Extrapolated
2032,ssp5,effort_final,14.0978393075142,Extrapolated
2033,ssp5,effort_final,14.2652943874638,Extrapolated
2034,ssp5,effort_final,14.4335813653936,Extrapolated
2035,ssp5,effort_final,14.6008104421904,Extrapolated
2036,ssp5,effort_final,14.7654828641763,Extrapolated
2037,ssp5,effort_final,14.9300222313612,Extrapolated
2038,ssp5,effort_final,15.09443914919,Extrapolated
2039,ssp5,effort_final,15.2587430799867,Extrapolated
2040,ssp5,effort_final,15.4229424974304,Extrapolated
2041,ssp5,effort_final,15.5852600103561,Extrapolated
2042,ssp5,effort_final,15.7467356166556,Extrapolated
2043,ssp5,effort_final,15.9088174316536,Extrapolated
2044,ssp5,effort_final,16.0701193942746,Extrapolated
2045,ssp5,effort_final,16.231997557581,Extrapolated
2046,ssp5,effort_final,16.3902125008841,Extrapolated
2047,ssp5,effort_final,16.5477262533373,Extrapolated
2048,ssp5,effort_final,16.7057743398406,Extrapolated
2049,ssp5,effort_final,16.8637410689981,Extrapolated
2050,ssp5,effort_final,17.0216316980386,Extrapolated
2051,ssp5,effort_final,17.1736548860334,Extrapolated
2052,ssp5,effort_final,17.3256098814406,Extrapolated
2053,ssp5,effort_final,17.4780173657416,Extrapolated
2054,ssp5,effort_final,17.6298396227412,Extrapolated
2055,ssp5,effort_final,17.7816054632744,Extrapolated
2056,ssp5,effort_final,17.9262898352313,Extrapolated
2057,ssp5,effort_final,18.0713677712882,Extrapolated
2058,ssp5,effort_final,18.2159052077783,Extrapolated
2059,ssp5,effort_final,18.360379709833,Extrapolated
2060,ssp5,effort_final,18.5047948257814,Extrapolated
2061,ssp5,effort_final,18.642010588355,Extrapolated
2062,ssp5,effort_final,18.7795625379593,Extrapolated
2063,ssp5,effort_final,18.9166312753411,Extrapolated
2064,ssp5,effort_final,19.0536364655334,Extrapolated
2065,ssp5,effort_final,19.190581615487,Extrapolated
2066,ssp5,effort_final,19.3216613344101,Extrapolated
2067,ssp5,effort_final,19.4522956333641,Extrapolated
2068,ssp5,effort_final,19.5832131596077,Extrapolated
2069,ssp5,effort_final,19.7137132706634,Extrapolated
2070,ssp5,effort_final,19.8444865249595,Extrapolated
2071,ssp5,effort_final,19.9681994001924,Extrapolated
2072,ssp5,effort_final,20.0921608823495,Extrapolated
2073,ssp5,effort_final,20.2157384100002,Extrapolated
2074,ssp5,effort_final,20.339256472944,Extrapolated
2075,ssp5,effort_final,20.4630110304385,Extrapolated
2076,ssp5,effort_final,20.5785596655521,Extrapolated
2077,ssp5,effort_final,20.6943239105596,Extrapolated
2078,ssp5,effort_final,20.8097444428329,Extrapolated
2079,ssp5,effort_final,20.9251082796803,Extrapolated
2080,ssp5,effort_final,21.0406779762786,Extrapolated
2081,ssp5,effort_final,21.1449484238103,Extrapolated
2082,ssp5,effort_final,21.249158755915,Extrapolated
2083,ssp5,effort_final,21.353554164175,Extrapolated
2084,ssp5,effort_final,21.4576489356255,Extrapolated
2085,ssp5,effort_final,21.5616921228974,Extrapolated
2086,ssp5,effort_final,21.6489798088887,Extrapolated
2087,ssp5,effort_final,21.7364310832664,Extrapolated
2088,ssp5,effort_final,21.823601801583,Extrapolated
2089,ssp5,effort_final,21.9107200392362,Extrapolated
2090,ssp5,effort_final,21.9979955738376,Extrapolated
2091,ssp5,effort_final,22.0661449462337,Extrapolated
2092,ssp5,effort_final,22.1342385447577,Extrapolated
2093,ssp5,effort_final,22.2022788505821,Extrapolated
2094,ssp5,effort_final,22.2702681888765,Extrapolated
2095,ssp5,effort_final,22.3383954081256,Extrapolated
2096,ssp5,effort_final,22.3677376596713,Extrapolated
2097,ssp5,effort_final,22.3972097753884,Extrapolated
2098,ssp5,effort_final,22.4264520613733,Extrapolated
2099,ssp5,effort_final,22.4558212137125,Extrapolated
2100,ssp5,effort_final,22.4849712466604,Extrapolated
